index,country,surveyelapse,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GS11,GS12,VCL1,VCL2,VCL3,VCL4,VCL5,VCL7,VCL8,VCL10,VCL11,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,operatingsystem,browser,introelapse,testelapse,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness,Grit,highgrit
4,JP,340,5,2,3,3,2,4,2,4,3,3,4,2,0,0,0,1,0,0,0,1,0,0,0,1,1,Graduate,Suburban,Male,No,38,Right,Atheist,Heterosexual,Asian,No,Currently married,3,1,1,1,1,2,1,1,1,1,2,2,1,1,3,1,2,5,5,2,3,4,3,4,3,4,3,4,2,2,4,3,5,3,5,4,4,3,4,3,4,5,3,2,4,3,3,4,1,3,2,Windows,Firefox,3,337,1.2,2.5,3.3,3.8,3.0,3.0833333333333335,0
6,US,126,4,1,3,2,1,5,1,1,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,University,Suburban,Male,Yes,35,Right,Buddhist,Heterosexual,Indigenous/Native/White,No,Previously married,1,4,5,3,4,3,5,4,4,5,3,1,2,2,2,3,2,1,1,2,4,4,4,2,5,3,3,4,4,5,2,2,2,5,3,2,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,Windows,Chrome,36,212,4.0,2.0,3.6,3.4,5.0,2.5833333333333335,0
8,EU,130,5,3,3,5,4,5,5,4,4,5,3,5,1,1,1,1,1,0,1,1,1,1,1,1,1,University,Urban,Male,No,50,Right,Other,Heterosexual,Indigenous/Native/White,No,Previously married,3,3,5,5,5,5,5,4,4,4,4,3,4,3,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,4,3,4,5,3,5,3,5,4,4,4,5,5,5,4,5,5,1,4,5,Windows,Microsoft Internet Explorer,14,183,4.4,4.5,4.7,4.0,4.3,4.25,1
10,AE,592,5,3,3,2,4,3,3,3,3,3,3,3,1,0,0,1,1,0,0,1,0,0,1,0,1,University,Rural,Male,No,52,Right,Hindu,Heterosexual,Asian,Yes,Previously married,3,5,3,3,3,5,1,3,3,3,1,5,5,5,3,5,5,5,5,5,3,3,3,5,3,3,5,3,3,3,5,5,3,5,5,3,3,3,3,5,3,5,5,5,3,3,3,3,1,3,3,Windows,Chrome,726,311,3.0,4.6,3.6,3.8,3.4,3.1666666666666665,0
11,AU,217,3,1,1,2,1,3,1,2,2,2,1,5,1,1,0,0,1,0,0,1,0,0,1,1,1,High school,Suburban,Female,Yes,20,Left,Other,Heterosexual,Indigenous/Native/White,Yes,Never married,1,1,2,1,1,1,3,3,5,2,1,1,2,1,1,1,1,1,1,1,1,3,2,5,5,3,5,2,2,4,3,3,5,5,3,1,5,4,3,5,5,5,3,5,4,4,5,3,5,5,5,Windows,Firefox,376,407,2.0,1.1,3.4,3.9,4.4,2.0,0
12,US,262,3,4,5,3,5,4,5,4,5,5,4,4,1,1,0,1,1,0,1,1,0,0,1,1,1,University,Urban,Female,Yes,23,Right,Christian (Catholic),Heterosexual,Indigenous/Native/White,No,Never married,3,1,4,3,4,3,4,3,2,3,3,3,4,3,3,4,3,5,4,2,4,5,5,3,5,5,3,5,5,5,3,3,4,5,4,3,4,3,4,4,3,4,4,5,5,3,5,5,2,4,3,iOS,ChromeiOS,3,831,3.0,3.5,4.4,3.7,4.0,4.25,1
13,MY,204,3,2,1,4,1,3,1,1,3,2,1,3,1,1,0,1,1,0,0,1,0,0,1,1,1,High school,Urban,Female,No,20,Right,Muslim,Heterosexual,Asian,No,Never married,9,3,3,3,3,3,1,5,1,3,4,1,5,1,2,1,5,5,5,1,5,4,3,5,3,4,3,3,3,4,3,3,3,5,2,4,3,2,3,2,4,4,5,4,4,4,5,5,3,5,4,Windows,Chrome,3,371,2.9,3.1,3.5,3.1,4.3,2.0833333333333335,0
14,FI,181,5,2,2,4,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,1,0,0,0,1,1,High school,Urban,Female,No,23,Left,Christian (Protestant),Heterosexual,Indigenous/Native/White,Yes,Never married,3,1,5,3,4,3,3,4,5,3,3,1,1,1,4,2,3,1,1,2,2,2,5,4,4,4,3,5,1,3,4,1,2,3,1,1,2,3,1,1,2,1,1,5,3,3,5,4,2,5,4,Windows,Chrome,17,195,3.4,1.8,3.5,1.7,3.3,2.0833333333333335,0
16,AU,95,5,2,5,5,3,5,4,5,4,3,2,4,1,0,0,1,0,0,0,1,0,0,0,1,1,University,Urban,Male,No,23,Right,Other,Heterosexual,Asian,No,Never married,1,3,5,3,5,4,5,4,4,5,4,5,3,5,5,4,5,5,4,5,5,4,4,5,4,4,4,4,4,4,5,5,3,4,5,4,3,4,5,4,5,5,5,5,4,5,5,5,2,5,5,Windows,Chrome,485,411,4.2,4.6,4.2,4.2,4.6,3.9166666666666665,1
17,NO,327,3,1,4,1,2,5,3,3,4,4,3,5,1,1,1,1,1,1,1,1,0,1,1,1,1,University,Suburban,Female,No,23,Right,Atheist,Heterosexual,Indigenous/Native/White,Yes,Never married,3,2,4,5,4,4,4,2,4,4,2,2,4,2,2,1,4,2,4,2,4,5,5,5,5,5,5,4,5,5,4,4,4,4,5,2,4,5,4,4,2,4,4,5,4,3,5,4,4,5,4,Macintosh,Chrome,3,303,3.5,2.7,4.8,3.8,4.2,3.1666666666666665,0
20,GB,193,2,2,3,1,2,4,3,1,1,1,3,3,1,1,0,1,1,0,0,0,0,1,0,1,1,High school,Urban,Female,Yes,27,Left,Agnostic,Heterosexual,Indigenous/Native/White,No,Currently married,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,4,4,3,5,3,2,3,4,4,2,2,1,1,1,2,2,3,3,1,3,5,3,2,5,4,1,5,2,iOS,ChromeiOS,3,444,1.7,1.2,3.2,2.1,3.1,2.1666666666666665,0
22,US,108,3,2,1,2,2,5,3,4,4,5,2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,High school,Suburban,Female,Yes,18,Right,Jewish,Heterosexual,Indigenous/Native/White,Yes,Never married,2,4,4,4,3,4,5,4,2,2,1,2,2,1,2,4,4,2,4,4,2,4,4,4,4,4,4,4,5,4,4,2,1,2,2,1,1,4,4,4,4,5,4,4,4,4,4,4,4,4,4,Macintosh,Chrome,4,110,3.3,2.7,4.1,2.5,4.1,3.1666666666666665,0
23,FI,159,3,2,4,3,3,1,4,2,3,4,4,3,1,1,0,1,0,0,1,1,0,1,1,1,1,University,Rural,Male,No,27,Right,Agnostic,Heterosexual,Indigenous/Native/White,Yes,Never married,2,1,2,3,2,2,3,1,1,2,2,3,4,4,2,2,4,5,5,5,4,4,4,5,5,2,5,4,3,4,4,4,4,3,4,2,3,3,3,1,3,5,5,4,5,4,2,5,4,5,4,Linux,Chrome,11,141,1.9,3.8,4.0,3.0,4.3,3.0,0
24,US,200,5,2,1,5,1,5,1,3,3,2,2,3,1,1,0,1,1,0,0,1,0,1,1,1,1,High school,Urban,Female,Yes,20,Right,Atheist,Other,Black,No,Never married,3,1,1,2,1,2,2,1,2,2,2,4,5,4,2,4,5,3,4,5,3,1,4,3,2,2,1,2,2,2,2,3,5,5,4,3,4,3,3,2,4,5,5,5,5,4,5,4,4,5,5,iOS,Safari,5,193,1.6,3.9,2.1,3.6,4.7,2.75,0
25,CZ,217,4,3,4,3,4,3,4,4,3,3,3,4,1,1,1,1,1,0,1,1,1,1,1,1,1,University,Rural,Female,No,24,Right,Agnostic,Bisexual,Indigenous/Native/White,No,Never married,2,4,1,3,3,3,4,4,3,3,1,3,4,2,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,3,1,4,2,2,4,4,2,4,3,4,5,4,5,4,4,4,4,5,4,Windows,Firefox,14,261,2.9,3.2,3.5,2.9,4.3,3.5,1
26,IN,168,5,4,3,4,3,4,4,4,4,5,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,High school,Urban,Male,No,18,Right,Hindu,Other,Asian,No,Never married,1,3,4,4,3,4,4,4,2,4,3,3,4,4,1,3,3,3,4,3,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,2,3,4,3,3,4,4,4,4,2,4,4,4,3,3,4,Linux,Firefox,9,167,3.5,3.2,3.8,3.4,3.6,3.9166666666666665,1
27,MY,227,3,2,3,3,2,4,3,2,2,5,2,4,1,0,0,1,1,0,0,1,0,0,1,1,1,University,Rural,Male,No,26,Right,Muslim,Heterosexual,Black,No,Never married,4,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,2,3,2,3,3,4,4,3,3,3,4,3,3,3,4,4,3,3,3,3,4,3,3,3,5,2,5,4,3,3,5,5,Windows,Chrome,79,328,3.0,2.6,3.2,3.3,3.8,2.9166666666666665,0
29,NO,215,5,4,3,4,2,5,1,4,5,4,4,3,1,1,0,1,1,0,1,1,1,0,1,1,1,University,Suburban,Male,No,25,Right,Atheist,Heterosexual,Indigenous/Native/White,Yes,Never married,2,3,5,4,4,4,4,4,4,4,4,5,4,3,4,3,5,4,4,4,4,4,5,3,3,4,4,4,4,4,4,4,2,4,4,5,4,5,3,4,4,4,4,4,3,4,4,5,4,4,3,Windows,Chrome,367,249,4.0,4.0,3.9,3.9,3.9,3.6666666666666665,1
30,IN,167,4,3,4,4,3,5,4,3,4,4,4,4,1,1,0,1,1,1,0,1,0,1,1,1,1,University,Suburban,Female,No,24,Right,Other,Heterosexual,Asian,Yes,Never married,2,3,2,5,3,2,3,4,3,4,4,3,3,2,3,2,3,4,4,4,4,1,5,5,5,4,5,4,4,5,5,4,5,5,4,3,4,4,4,4,4,2,4,5,4,4,5,5,1,3,5,Windows,Chrome,17,197,3.3,3.2,4.3,4.1,3.8,3.8333333333333335,1
31,RO,150,4,2,2,2,3,5,2,3,5,2,2,2,1,1,0,1,1,0,1,1,0,0,1,1,1,University,Rural,Male,No,44,Right,Atheist,Heterosexual,Indigenous/Native/White,Yes,Never married,2,3,2,4,3,2,3,4,2,2,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,4,2,4,5,4,5,4,4,4,4,4,4,4,Windows,Chrome,23,165,2.7,3.8,4.0,2.8,4.2,2.8333333333333335,0
