surveyelapse,VCL1,VCL2,VCL3,VCL4,VCL5,VCL7,VCL8,VCL10,VCL11,VCL13,VCL14,VCL15,VCL16,familysize,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,introelapse,testelapse,Grit,highgrit,survey_time_score,vocab_score,married_Currently married,married_Never married,married_Previously married,married_Unknown,browser_AndroidBrowser,browser_Chrome,browser_ChromeiOS,browser_Firefox,browser_Microsoft Internet Explorer,browser_Opera,browser_Safari,browser_SeaMonkey,browser_UCBrowser,browser_Unknown,operatingsystem_Blackberry,operatingsystem_ChromeOS,operatingsystem_Linux,operatingsystem_Macintosh,operatingsystem_Unknown,operatingsystem_Windows,operatingsystem_Windows Phone,operatingsystem_iOS,age_group_18-30,age_group_30-45,age_group_45+
340,0,0,0,1,0,0,0,1,0,0,0,1,1,3,1,1,1,1,2,1,1,1,1,2,2,1,1,3,1,2,5,5,2,3,4,3,4,3,4,3,4,2,2,4,3,5,3,5,4,4,3,4,3,4,5,3,2,4,3,3,4,1,3,2,3,337,3.083333333333333,0,680,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
126,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,3,5,4,4,5,3,1,2,2,2,3,2,1,1,2,4,4,4,2,5,3,3,4,4,5,2,2,2,5,3,2,5,4,3,4,4,5,5,5,5,5,5,5,5,5,5,36,212,2.583333333333333,0,374,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
130,1,1,1,1,1,0,1,1,1,1,1,1,1,3,3,5,5,5,5,5,4,4,4,4,3,4,3,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,4,3,4,5,3,5,3,5,4,4,4,5,5,5,4,5,5,1,4,5,14,183,4.25,1,327,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
592,1,0,0,1,1,0,0,1,0,0,1,0,1,3,5,3,3,3,5,1,3,3,3,1,5,5,5,3,5,5,5,5,5,3,3,3,5,3,3,5,3,3,3,5,5,3,5,5,3,3,3,3,5,3,5,5,5,3,3,3,3,1,3,3,726,311,3.1666666666666665,0,1629,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
217,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,2,1,1,1,3,3,5,2,1,1,2,1,1,1,1,1,1,1,1,3,2,5,5,3,5,2,2,4,3,3,5,5,3,1,5,4,3,5,5,5,3,5,4,4,5,3,5,5,5,376,407,2.0,0,1000,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
262,1,1,0,1,1,0,1,1,0,0,1,1,1,3,1,4,3,4,3,4,3,2,3,3,3,4,3,3,4,3,5,4,2,4,5,5,3,5,5,3,5,5,5,3,3,4,5,4,3,4,3,4,4,3,4,4,5,5,3,5,5,2,4,3,3,831,4.25,1,1096,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
204,1,1,0,1,1,0,0,1,0,0,1,1,1,9,3,3,3,3,3,1,5,1,3,4,1,5,1,2,1,5,5,5,1,5,4,3,5,3,4,3,3,3,4,3,3,3,5,2,4,3,2,3,2,4,4,5,4,4,4,5,5,3,5,4,3,371,2.083333333333333,0,578,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
181,1,1,0,1,0,0,0,1,0,0,0,1,1,3,1,5,3,4,3,3,4,5,3,3,1,1,1,4,2,3,1,1,2,2,2,5,4,4,4,3,5,1,3,4,1,2,3,1,1,2,3,1,1,2,1,1,5,3,3,5,4,2,5,4,17,195,2.083333333333333,0,393,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
95,1,0,0,1,0,0,0,1,0,0,0,1,1,1,3,5,3,5,4,5,4,4,5,4,5,3,5,5,4,5,5,4,5,5,4,4,5,4,4,4,4,4,4,5,5,3,4,5,4,3,4,5,4,5,5,5,5,4,5,5,5,2,5,5,485,411,3.9166666666666665,1,991,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
327,1,1,1,1,1,1,1,1,0,1,1,1,1,3,2,4,5,4,4,4,2,4,4,2,2,4,2,2,1,4,2,4,2,4,5,5,5,5,5,5,4,5,5,4,4,4,4,5,2,4,5,4,4,2,4,4,5,4,3,5,4,4,5,4,3,303,3.1666666666666665,0,633,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
